import time: self [us] | cumulative | imported package
import time:       870 |        870 |               postgrest.exceptions
import time:      1187 |      55949 |             postgrest._async.request_builder
import time:      1721 |     240706 |           postgrest._async.client
import time:       286 |        286 |             postgrest._sync
import time:       559 |        559 |             postgrest._sync.request_builder
import time:       734 |       1578 |           postgrest._sync.client
import time:      1198 |     429935 |         postgrest
import time:       369 |        369 |           realtime.version
import time:       260 |        260 |             realtime._async
import time:      8235 |       8235 |             realtime.types
import time:     10424 |      10424 |             realtime.message
import time:       260 |        260 |             realtime.transformers
import time:       281 |        281 |             realtime._async.presence
import time:       295 |        295 |             realtime._async.push
import time:       250 |        250 |             realtime._async.timer
import time:      1719 |      21720 |           realtime._async.channel
import time:       352 |        352 |               websockets.imports
import time:       226 |        226 |               websockets.version
